Province,Year,Revenue,Salaries,Population,Revenue per Capita,Salaries Per Capita,,,
Newfoundland and Labrador,2004,"2,531,729","476,780",5.174,48.93,9.21, ,,
Prince Edward Island,2004,"1,293,737","175,895",1.377,93.97,12.78,,,
Nova Scotia,2004,"9,657,859","1,492,221",9.396,102.79,15.88,,,
New Brunswick,2004,"14,226,751","1,272,466",7.494,189.84,16.98,,,
Quebec,2004,"135,044,346","21,323,005",75.353,179.22,28.3,,,
Ontario,2004,"303,043,615","42,439,568",123.901,244.59,34.25,,,
Manitoba,2004,"13,385,489","2,339,727",11.732,114.09,19.94,,,
Saskatchewan,2004,"9,187,605","1,049,189",9.973,92.12,10.52,,,
Alberta,2004,"53,630,439","5,949,925",32.384,165.61,18.37,,,
British Columbia ,2004,"41,711,342","7,339,249",41.55,100.39,17.66,,,
Newfoundland and Labrador,2005,"2,991,871","469,677",5.143,58.17,9.13,,,
Prince Edward Island,2005,"1,047,074","174,733",1.381,75.84,12.66,,,
Nova Scotia,2005,"9,764,316","1,417,563",9.379,104.11,15.11,,,
New Brunswick,2005,"15,442,362","1,161,994",7.54,204.79,15.41,,,
Quebec,2005,"137,552,909","20,950,925",75.812,181.44,27.64,,,
Ontario,2005,"301,803,641","43,205,880",125.28,240.9,34.49,,,
Manitoba,2005,"13,357,295","2,334,431",11.783,113.36,19.81,,,
Saskatchewan,2005,"9,817,908","1,135,599",9.935,98.82,11.43,,,
Alberta,2005,"61,386,080","6,468,704",33.216,184.81,19.47,,,
British Columbia ,2005,"41,448,982","7,507,220",41.958,98.79,17.89,,,
Newfoundland and Labrador,2006,"4,490,014","429,860",5.106,87.94,8.42,,,
Prince Edward Island,2006,"1,316,044","205,704",1.377,95.56,14.94,,,
Nova Scotia,2006,"9,227,424","1,353,956",9.379,98.39,14.44,,,
New Brunswick,2006,"15,130,080","1,124,131",7.456,202.92,15.08,,,
Quebec,2006,"142,041,785","21,041,020",76.319,186.12,27.57,,,
Ontario,2006,"293,949,783","42,223,185",126.616,232.16,33.35,,,
Manitoba,2006,"14,488,363","2,341,537",11.835,122.42,19.78,,,
Saskatchewan,2006,"10,266,905","1,163,888",9.923,103.47,11.73,,,
Alberta,2006,"63,803,302","7,170,003",34.214,186.49,20.96,,,
British Columbia ,2006,"43,437,068","7,855,651",42.417,102.41,18.52,,,
Newfoundland and Labrador,2007,"5,280,033","456,123",5.09,103.73,8.96,,,
Prince Edward Island,2007,"1,393,400","214,021",1.377,101.18,15.54,,,
Nova Scotia,2007,"9,758,080","1,393,925",9.351,104.36,14.91,,,
New Brunswick,2007,"16,020,966","1,181,039",7.454,214.93,15.84,,,
